xi,mu,sigma0,adm_mass,max_phi,A_inf,B_inf,converged,trivial,residual
-20.0,0.1,0.0001,-2.0864986960411613e-05,8.642334586918252e-10,1.0,0.9999999165400592,True,True,1.3469655532102881e-10
-20.0,0.1,0.005357894736842106,-3.2285130124876105e-07,5.139911553862562e-12,1.0,0.9999999987085949,True,True,1.0952919019814864e-11
-20.0,0.1,0.01061578947368421,-1.083032330484457e-06,2.0871156740347764e-11,0.9999999999999999,0.9999999956678707,True,True,2.237796998051507e-10
-20.0,0.1,0.015873684210526314,0.000289427041721968,8.154618426180725e-10,1.0,1.0000011577095071,True,True,4.389565908193883e-09
-20.0,0.1,0.02113157894736842,4.82946785895777e-05,6.099308254615093e-11,1.0,1.0000001931787517,True,True,1.1663664306135054e-09
-20.0,0.1,0.02638947368421053,-2.5350832544290824e-09,2.86692235226356e-16,1.0,0.9999999999898598,True,True,3.530106711005528e-14
-20.0,0.3111111111111111,0.0001,-4.097426862089851e-07,3.172839563206384e-13,1.0,0.9999999949009799,True,True,1.5468592199043493e-11
-20.0,0.3111111111111111,0.005357894736842106,-1.5897235313858514e-07,5.45109771710947e-12,1.0,0.9999999980216774,True,True,3.8486200920388854e-11
-20.0,0.3111111111111111,0.01061578947368421,-2.6642902170185123e-08,9.101009576635613e-13,1.0,0.999999999668444,True,True,1.1225169666025147e-11
-20.0,0.3111111111111111,0.015873684210526314,1.0738017617941053e-09,1.5850812123119713e-16,0.9999999999999999,1.0000000000133629,True,True,9.114072460267255e-14
-20.0,0.3111111111111111,0.02113157894736842,7.197024922451461e-06,3.0527664392829507e-11,1.0000000000000002,1.0000000895629848,True,True,4.815302899368457e-09
-20.0,0.3111111111111111,0.02638947368421053,-3.3114582504672237e-10,3.425541991314684e-16,1.0,0.9999999999958791,True,True,1.1764569243759233e-13
-20.0,0.3111111111111111,0.03164736842105263,-6.517902289322158e-08,1.8146617531262827e-13,1.0,0.9999999991888833,True,True,7.364301762759443e-12
-20.0,0.3111111111111111,0.03690526315789474,-1.5788441982372045e-09,1.4321313149563023e-19,1.0,0.9999999999803523,True,True,9.797216865655015e-13
-20.0,0.3111111111111111,0.04216315789473685,-2.2521127819784074e-08,5.875007056389156e-19,1.0000000000000002,0.9999999997197371,True,True,1.7058749476388704e-11
-20.0,0.3111111111111111,0.047421052631578954,-3.8613523093263986e-08,7.0907786322038e-14,1.0,0.9999999995194763,True,True,2.4103568984463003e-11
-20.0,0.3111111111111111,0.05267894736842106,2.2355742257396116e-08,1.3744985473172567e-14,0.9999999999999999,1.0000000002782048,True,True,3.093816593363408e-11
-20.0,0.3111111111111111,0.05793684210526316,-1.0041876259097345e-07,2.2643953969300873e-12,1.0000000000000002,0.9999999987503443,True,True,1.4474391117007694e-10
-20.0,0.3111111111111111,0.06319473684210526,-1.0417149286036574e-08,1.6579494349113475e-17,0.9999999999999999,0.9999999998703645,True,True,6.936197789559429e-12
-20.0,0.3111111111111111,0.06845263157894738,5.7292849036422976e-08,2.0505671893343432e-15,0.9999999999999999,1.0000000007129777,True,True,3.607736992664202e-11
-20.0,0.3111111111111111,0.07371052631578948,-2.698700191887988e-07,8.117285167984689e-14,1.0,0.9999999966416177,True,True,1.999442790940124e-10
-20.0,0.3111111111111111,0.07896842105263159,-1.5075892320240823e-07,1.0823752458411055e-13,1.0,0.999999998123889,True,True,1.0003180647195507e-10
-20.0,0.3111111111111111,0.08422631578947369,-1.5469245348961484e-06,1.9658130256379674e-11,1.0000000000000002,0.9999999807493839,True,True,7.078195765511607e-11
-20.0,0.3111111111111111,0.08948421052631579,-1.0896888213191808e-06,3.3883663284768343e-12,1.0000000000000002,0.9999999864394282,True,True,2.589789396991275e-10
-20.0,0.3111111111111111,0.0947421052631579,2.7715951052077948e-06,1.12382410450101e-11,0.9999999999999999,1.0000000344909625,True,True,4.908252929168085e-09
-20.0,0.5222222222222223,0.0001,-2.4529715492869524e-07,3.199398426490473e-13,1.0000000000000002,0.9999999948760151,True,True,2.5792673179764908e-11
-20.0,0.5222222222222223,0.005357894736842106,-1.2992930136046284e-07,5.7264509222433574e-12,0.9999999999999999,0.9999999972859214,True,True,7.318249087095278e-11
-20.0,0.5222222222222223,0.01061578947368421,-1.5469317316469422e-08,8.122020892898591e-13,1.0,0.9999999996768631,True,True,1.972241818627071e-11
-20.0,0.5222222222222223,0.015873684210526314,-5.069242897788742e-10,1.1012353438272863e-16,1.0,0.9999999999894109,True,True,9.503689194630164e-14
-20.0,0.5222222222222223,0.02113157894736842,2.0876917216249217e-11,1.0352164603544014e-17,1.0000000000000002,1.000000000000436,True,True,5.660748458055676e-15
-20.0,0.5222222222222223,0.02638947368421053,-5.3159604378035813e-11,3.6731785676386213e-16,1.0,0.9999999999988897,True,True,1.7847696162470506e-13
-20.0,0.5222222222222223,0.03164736842105263,-2.858348664141675e-08,1.87824209561467e-13,1.0,0.9999999994029227,True,True,9.525846744398398e-12
-20.0,0.5222222222222223,0.03690526315789474,-1.871619880354709e-09,6.981956127786205e-18,0.9999999999999999,0.9999999999609039,True,True,4.354881507111361e-12
